finding_id,category,severity,paper_location,title,audit_sources,audit_count,action_type,notes
F-82f9dcceaf,CLAIMS,S0,§1 Contributions vs. §4.2/§5.4,STRUCTURAL CONTRADICTION: Contributions item 3 says Local/Cluster have no cross-client spillover; §4.2/§5.4 say Cluster causes intra-cluster spillover,AUDIT-02;AUDIT-10,2,STRUCTURAL_FIX,Direct logical contradiction — must be resolved before submission
F-6a6b0d6949,REALISM,S0,§2 / Abstract,"Score-level proxy: attack operates at calibration score level, not traffic level — never shown to be traffic-realizable",AUDIT-01;AUDIT-02;AUDIT-03;AUDIT-04;AUDIT-05;AUDIT-06;AUDIT-07;AUDIT-08;AUDIT-09;AUDIT-10,10,PAPER_FIX,Realism caveat is already acknowledged in discussion; needs stronger framing in §1/abstract per reviewers
F-a620caf003,RELATED_WORK,S0,§3 / references,Reference [12] (L'heureux 2017) is a wrong citation — paper does not support the claimed threshold sensitivity finding,AUDIT-10,1,PAPER_FIX,CRITICAL: citation verification needed before submission
F-f80d97cb0e,REPRODUCIBILITY,S0,§4 / §1,"""4 source-objective pairs"" stated but only 3 attack conditions described",AUDIT-02;AUDIT-09;AUDIT-10,3,PAPER_FIX,
F-0993b70fbb,STATISTICS,S0,Table 1,Cluster Macro-F1 = 0.299 ± 0.000 — zero standard deviation is statistically impossible unless all seeds identical; may indicate reporting bug,AUDIT-10,1,PAPER_FIX,
F-1de8c78e14,CLAIMS,S1,Abstract / §1,"""100% Gate-1 pass rate"" cited before Gate-1 is defined",AUDIT-04;AUDIT-09;AUDIT-10,3,PAPER_FIX,
F-489c8b7ce6,CLAIMS,S1,§5.5,Victim ΔTPR for Global results ambiguous — unclear if per-victim or average across all clients,AUDIT-10,1,PAPER_FIX,
F-53f9f172ea,CLAIMS,S1,§1 / abstract,"""structurally outside scope of every defense"" — undefendable universal claim",AUDIT-01;AUDIT-03;AUDIT-04;AUDIT-08;AUDIT-09,5,PAPER_FIX,Forbidden per DATP-CP frozen boundary: do not claim broad defense evasion
F-79e79bc668,CLAIMS,S1,§5,"Concrete motivating harm scenario (specific attacker goal, IoT context) missing",AUDIT-10,1,PAPER_FIX,
F-810820f994,CLAIMS,S1,§5.2,"""30-80 undetected Mirai flows"" claim has no derivation, no traffic model, no citation",AUDIT-04;AUDIT-10,2,PAPER_FIX,
F-cd3c497156,CLAIMS,S1,§1 / abstract,"""operationally meaningful in IoT deployment contexts"" — deployment claim out of scope per frozen boundary",AUDIT-01;AUDIT-03;AUDIT-04,3,PAPER_FIX,Explicitly forbidden by frozen boundary: no deployment readiness claims
F-1f6dfe00f2,FRAMING,S1,Abstract / §5.3,Lowering attack: positive ΔTPR sounds beneficial; harm should be foregrounded as increased ΔFPR / alarm burden,AUDIT-01;AUDIT-02;AUDIT-03;AUDIT-04;AUDIT-05;AUDIT-06;AUDIT-07;AUDIT-08;AUDIT-09;AUDIT-10,10,PAPER_FIX,
F-4521a0a59c,FRAMING,S1,Abstract,"Lowering attack ""succeeds"" in abstract overclaims epistemic status",AUDIT-01;AUDIT-03;AUDIT-04,3,PAPER_FIX,
F-653ddd1df9,FRAMING,S1,§5 / results,Lowering attack: Global conditionality (why lowering works for Global but not Local/Cluster) under-explained,AUDIT-06;AUDIT-07,2,PAPER_FIX,
F-b808e36c15,PRESENTATION,S1,§5 / Discussion,Defense requirements sketch / mitigation paragraph completely missing from Discussion,AUDIT-04;AUDIT-06;AUDIT-07,3,PAPER_FIX,
F-bfeb175017,PRESENTATION,S1,§2,CV(FPR) metric defined inconsistently / introduced late without early definition,AUDIT-01;AUDIT-03;AUDIT-04;AUDIT-10,4,PAPER_FIX,
F-f8e2e92b2d,PRESENTATION,S1,§1 / Introduction,No paper roadmap (section-by-section guide) in Introduction,AUDIT-06;AUDIT-07,2,PAPER_FIX,
F-8993694ae8,REALISM,S1,Abstract vs. §6,"""attack"" (abstract) vs ""vulnerability characterization"" (§6) — inconsistent epistemic framing throughout",AUDIT-06;AUDIT-07;AUDIT-10,3,PAPER_FIX,
F-b5bfa0c742,REALISM,S1,§4 / method,Formal contamination equation absent — only informal description of REPLACE-FIXED-BUDGET,AUDIT-06;AUDIT-07,2,PAPER_FIX,
F-e617b74787,REALISM,S1,§2 / threat model,"""gray-box"" label used without precise definition anchored to the FL setup",AUDIT-06;AUDIT-07;AUDIT-10,3,PAPER_FIX,
F-1249c7034d,RELATED_WORK,S1,§1 / abstract,"""no prior work"" causal claim too strong — should be ""we find no prior work""",AUDIT-04;AUDIT-08;AUDIT-10,3,PAPER_FIX,
F-260ecb76ac,RELATED_WORK,S1,§3 / related work,No 2023-2024 FL security citations — related work likely outdated,AUDIT-04;AUDIT-10,2,PAPER_FIX,
F-2ea27ded3d,RELATED_WORK,S1,§3 / related work,K-means++ not cited (Arthur & Vassilvitskii 2007) despite its use in cluster formation,AUDIT-10,1,PAPER_FIX,
F-7a835d76b5,RELATED_WORK,S1,§3 / related work,No related-work comparison table — nearest works not systematically contrasted,AUDIT-01;AUDIT-03;AUDIT-05;AUDIT-08;AUDIT-09,5,PAPER_FIX,
F-9c91e712ec,RELATED_WORK,S1,§3 / related work,Kloft & Laskov 2012 [11] cited but not explicitly contrasted — novelty claim fragile,AUDIT-04;AUDIT-08;AUDIT-09;AUDIT-10,4,PAPER_FIX,
F-16a073b134,REPRODUCIBILITY,S1,§2 (setup),"FedAvg role ambiguous: ""using FedAvg for feature extraction"" is architecturally misleading",AUDIT-10,1,PAPER_FIX,
F-3ef85e6456,REPRODUCIBILITY,S1,§2 (setup),Train/calibration/test split not described,AUDIT-01;AUDIT-03;AUDIT-04;AUDIT-09;AUDIT-10,5,PAPER_FIX,
