action_id,priority,title,finding_ids,effort,section_target,detail
A-5f02c65612,P0,Fix Contributions item 3 vs §4.2/§5.4 spillover contradiction,F-82f9dcceaf,S,§1 Contributions + §4.2 + §5.4,"Contributions item 3 currently says Local/Cluster have no cross-client spillover. §4.2 and §5.4 say Cluster causes intra-cluster spillover. Choose one: either (a) remove the 'no spillover' claim from Contributions item 3 and clarify the policy-dependent spillover boundary, or (b) verify that Cluster truly has zero spillover and correct §4.2/§5.4 text. This is a logical contradiction that will cause desk-rejection."
A-a098e39ee7,P0,Verify and fix Reference [12] citation,F-a620caf003,S,§3 / references.bib,"Reference [12] (L'heureux 2017) is flagged as citing a paper that does not support the claimed finding about threshold sensitivity. Open the cited paper. If the claim is unsubstantiated, either (a) remove the claim, (b) find the correct supporting citation, or (c) derive the claim from first principles in the text. A wrong citation is a credibility-threatening error."
A-bc70838a10,P0,"Fix ""4 source-objective pairs"" inconsistency — correct to 3 or describe the 4th",F-16a073b134;F-f80d97cb0e,XS,§4 / §1 Contributions,"The paper refers to ""4 source-objective pairs"" but describes only 3: HIGH_SCORE_BENIGN×THRESHOLD_RAISE, LOW_SCORE_BENIGN×THRESHOLD_LOWER, RANDOM_BENIGN×(control). Either (a) correct the count to 3 everywhere, or (b) explicitly describe and name the 4th pair. The inconsistency causes confusion in every audit that noticed it."
A-db7bcc5fcf,P0,Explain or correct Table 1 Cluster Macro-F1 ± 0.000,F-0993b70fbb,M,Table 1 / results generation code,"Table 1 reports Cluster Macro-F1 = 0.299 ± 0.000. A standard deviation of exactly zero across 10 independent seeds is impossible unless there is a bug (e.g., all seeds run from the same initialization), a reporting error (e.g., std was dropped in copy-paste), or Cluster Macro-F1 is deterministic by construction. Investigate and either correct the value or add a footnote explaining why zero std is expected."
A-01a7255dbd,P1,Reframe lowering attack: foreground alarm burden (ΔFPR) not detection lift (ΔTPR),F-1f6dfe00f2;F-4521a0a59c;F-653ddd1df9,S,Abstract + §5.3,"The current framing presents positive ΔTPR as the harm, but reviewers consistently note this sounds beneficial. Reframe: the harm of the lowering attack is the increased false positive rate (ΔFPR) and resulting alarm burden on operators — detection of Mirai traffic increases but so does the false alarm rate, creating alert fatigue. Soften 'succeeds' → 'achieves elevated alarm rate'. Add an explicit sentence about alarm burden in §5.3 and the abstract."
A-1975d011a9,P1,Add Random-Benign as explicit rows in Table 2 and add RB line to Figure 3,F-d17dbb4517;F-d5257ddef0,M,Table 2 + Figure 3,"The Random-Benign control must be shown as data, not asserted in prose. Add RANDOM_BENIGN rows to Table 2 for each threshold policy (with ΔTPR, ΔFPR, Δτ values). Add RANDOM_BENIGN as a plotted line in Figure 3. This is flagged by all 10 audits and is a near-fatal gap in the negative control presentation."
A-5ccfae0eed,P1,Expand related work: contrast Kloft & Laskov explicitly; add comparison table; soften 'no prior work',F-1249c7034d;F-7a835d76b5;F-9c91e712ec,M,§3 Related Work,"Three related actions: (a) Add a paragraph explicitly contrasting DATP-CP with Kloft & Laskov 2012: what they poisoned (training data), what we poison (calibration buffer), why this is a different threat surface. (b) Add a comparison table with nearest 4-6 works (columns: attack surface, threat model, detection, dataset, policy-awareness). (c) Change 'no prior work' → 'to the best of our knowledge, no prior work has...'"
A-664b8440ed,P1,Add artifact/code availability statement,F-56f3c530ef,XS,§1 or §6 Discussion,"Add a standard availability statement to §1 or as a separate paragraph: whether code/data will be released, under what license, at what URL (or 'available upon request'). All 10 audits flag the absence of this statement."
A-984973914d,P1,Fix Figure 2: add Cluster condition; add multiple seeds or justify seed 0,F-bf066608e1,M,Figure 2,"Figure 2 shows only seed 0 and omits the Cluster threshold policy condition. Add Cluster to the figure. Either (a) show mean ± std across all 10 seeds, (b) show all 10 seeds as thin lines with mean bolded, or (c) add a caption justifying why seed 0 is representative (e.g., 'seed 0 is median-outcome across seeds; see supplementary for all seeds')."
A-9c654c5a5e,P1,Justify gate constants and three-gate framework with principled reasoning or citation,F-95a95d973c;F-b02c973ba2,S,§6 Statistics,"Add a justification paragraph for the three-gate framework in §6: cite any prior work that uses a similar gating approach, or provide a principled argument for why 0.1×IQR and 0.01×IQR are appropriate thresholds. Note if they were set before or after seeing results. If set post-hoc, acknowledge this as a limitation."
A-df1fb64bdd,P1,Add BCa bootstrap footnote / N=10 statistical caveat,F-64588f32e0,S,§6 Statistics,"Add a footnote in §6 or §2 statistics paragraph: 'With N=10 seeds, percentile bootstrap 95% CIs have known coverage deficiencies; we use BCa (bias-corrected accelerated) bootstrap [citation] which has better finite-sample coverage properties.' Alternatively, recompute CIs using BCa. Acknowledge the limitation explicitly."
A-e102f26659,P1,Reframe score-level proxy caveat prominently; standardize attack vs. vulnerability language,F-6a6b0d6949;F-8993694ae8,S,§1 Abstract + §2 threat model + §6,Two distinct but related actions: (a) Add an explicit caveat in §1/abstract that the attack is demonstrated at the score-substitution level and that traffic-level realization is future work. (b) Standardize language: choose either 'attack' or 'vulnerability characterization' and use it consistently throughout. The abstract/§6 inconsistency is a near-fatal framing issue per AUDIT-06/07.
A-e31849338f,P1,Add spillover quantification table: victim vs. non-victim breakdown,F-5e5517e25d,M,§5.4 + new table,"Add a table or extended section in §5.4 showing, for the Global attack: victim client ΔTPR, ΔFPR vs. average non-victim ΔTPR, ΔFPR. For the Cluster attack: victim client vs. same-cluster non-victims vs. different-cluster clients. This directly quantifies the spillover claims currently asserted in prose."
A-f3e11e1509,P1,"Add reproducibility table: AE architecture, FedAvg config, data splits, features",F-3ef85e6456;F-447e660ce4;F-4ad5dce40c;F-4e13c25efd,M,§2 (Setup) / new Table,"Add a table (or structured paragraph) to §2 reporting: autoencoder layer sizes and activation functions, FedAvg rounds and local epochs, learning rate and optimizer, N-BaIoT train/calibration/test split sizes per device, feature extraction method (network traffic features used). This addresses the single most universally cited reproducibility gap."
A-f8c713ec0c,P1,"Remove ""every defense"" and deployment language — out of scope per frozen boundary",F-53f9f172ea;F-cd3c497156,XS,§1 Abstract + Introduction,"Replace ""structurally outside scope of every defense"" with ""we identify no defense that directly monitors the calibration channel."" Remove ""operationally meaningful in IoT deployment contexts"" — the paper makes no deployment claims. These are explicitly forbidden by the frozen scientific boundary."
A-01d8c9ea7a,P2,Add paper roadmap to Introduction,F-f8e2e92b2d,XS,§1 Introduction,"Add to §1: 'The remainder of the paper is organized as follows: §2 describes the threat model, §3 reviews related work, §4 presents the poisoning method, §5 reports experimental results, §6 discusses statistical methodology, §7 concludes.' Standard for most venues."
A-023cc3fd20,P2,Add 2023-2024 FL security citations; add K-means++ citation,F-260ecb76ac;F-2ea27ded3d,XS,§3 / references.bib,Add at least 2-3 recent (2023-2024) federated learning security papers to §3. Add Arthur & Vassilvitskii 2007 for K-means++. These are citation hygiene issues.
A-19e2ac96a6,P2,Standardize attack vs. vulnerability characterization language throughout,F-8993694ae8,XS,All sections,"Do a find-replace audit: wherever §6 says 'characterization,' decide whether to keep it or replace with 'attack demonstration.' The recommendation is to keep 'characterization' in §6 and §7 (those sections genuinely characterize vulnerability space) but ensure the abstract and contributions use consistent framing. Add a sentence in §1: 'We study this as a calibration-channel poisoning attack; §6 further characterizes the vulnerability space.'"
A-213529531a,P2,Fix Figure 3: adjust scale or add inset for Global policy line,F-715903e3a8,XS,Figure 3,"The Global line in Figure 3 is nearly invisible at the current y-axis scale. Either (a) use a dual y-axis, (b) add a zoomed inset for the Global policy, or (c) use a log scale on the y-axis. The current scale buries the Global trend."
A-2407be7432,P2,Justify victim-majority condition (≥5/9 clients) for Global THRESHOLD_RAISE,F-db45a4d07d,XS,§4 / §6,Add a sentence in §4 or §6 justifying why ≥5/9 clients must be victims for the Global condition to trigger: 'Global threshold is set using the federation-wide aggregate; a majority of poisoned clients shifts the aggregate above the threshold by the required margin.'
A-2849af9957,P2,State bold convention direction in Table 1 and Table 2 captions,F-0b45246ccd,XS,Table 1 + Table 2 captions,Add to Table 1 and Table 2 captions: 'Bold indicates [higher/lower] values represent [better/worse] outcomes for the attacker/defender.' Clarify direction per metric.
A-39a0f86ebd,P2,Add precise gray-box threat model definition anchored to FL setup,F-e617b74787,XS,§2 Threat Model,"Add a paragraph in §2: 'We assume a gray-box adversary who knows the threshold policy family (GLOBAL/LOCAL/CLUSTER) and the calibration mechanism (REPLACE-FIXED-BUDGET) but does not know: model weights, other clients' calibration data, or the exact score distribution.' This grounds the gray-box label in the FL context."
A-40607a57a6,P2,Fix Figure 1: add color legend; correct 'training defended' label,F-1efee522d3;F-61c8046eee,XS,Figure 1,Add a color/symbol legend to Figure 1. Change any label suggesting 'Training phase defended' to reflect that training is NOT the attack stage — the calibration stage is. This corrects the architectural misrepresentation.
A-52a92f30db,P2,Define Gate-1 at first use in §1/abstract; gate framework glossary,F-1249c7034d;F-1de8c78e14,XS,Abstract + §1 + §6,"'100% Gate-1 pass rate' is used in the abstract before Gate-1 is defined in §6. Either (a) move the gate definition earlier, (b) forward-reference it with 'Gate-1 (defined in §6)', or (c) replace the abstract reference with a plain-language version: 'all conditions exceeded the material-shift threshold.'"
A-6876713dc4,P2,Disambiguate N notation in §6,F-b6a2ecf3ad,XS,§6,"In §6, replace the ambiguous N symbol: use |F| or K for federation size (9 clients) and n_cal for calibration buffer size (≈2622). Update all equations and surrounding text accordingly."
A-741211d451,P2,Define BAP10 / P10 / Worst BA in Table 1 footnotes,F-0c0628ecf5,XS,Table 1 caption / footnote,"Add a footnote row or caption explaining: BAP10 = Balanced Accuracy at Poisoning budget 10%, P10 = [full expansion], Worst BA = worst-case balanced accuracy across seeds. These abbreviations appear in Table 1 without definition."
A-855a2d7014,P2,"Remove or derive ""30-80 undetected Mirai flows"" claim",F-810820f994,S,§5.2,"The claim '30-80 undetected Mirai flows' appears without derivation or citation. Either (a) derive it from the N-BaIoT dataset stats and the observed ΔTPR values, or (b) remove the specific number and replace with a qualitative statement: 'the lowering attack causes a non-trivial fraction of Mirai traffic to evade detection in the Global policy setting.'"
A-8db2e8afa8,P2,Disambiguate victim vs. non-victim ΔTPR reporting for Global results,F-489c8b7ce6,XS,§5 / Table 2,"In §5 Global results: clarify whether the reported ΔTPR is (a) the compromised client's ΔTPR, (b) average across all 9 clients, or (c) the Global threshold's effect on all clients equally. Add a subscript notation: ΔTPR_victim vs. ΔTPR_fleet."
A-c8058bdd1f,P2,Add defense requirements sketch to Discussion,F-b808e36c15,S,§5 Discussion,"Add a paragraph to §5/Discussion: 'Defenses against calibration-channel poisoning should target: (a) anomaly detection on incoming calibration score distributions, (b) threshold server-side validation (reject calibration updates with statistical outlier scores), (c) secure aggregation of calibration buffers across clients.' This is a simple addition that makes the paper more actionable."
A-d9bc51f540,P2,Add concrete motivating harm scenario to §1,F-79e79bc668,XS,§1 Introduction,"Add 1-2 sentences to §1 concretizing the attack scenario: 'Consider an adversary who gains access to one IoT device's network traffic and can craft repeated benign flows that produce high reconstruction-error scores. By flooding the calibration buffer with these scores, the adversary raises the GLOBAL_THRESHOLD, causing future Mirai botnet traffic to be classified as normal.'"
A-e6f405cf6f,P2,"Specify Cluster policy: feature representation, K=3 justification, seed-variance in assignment",F-8ae6c046f0;F-adf1c918ff,S,§4 Method,"Add to §4: the exact features used for K-means++ clustering (which N-BaIoT feature subsets), why K=3 was chosen, and a note that cluster assignments vary across seeds (and by how much — what fraction of devices change clusters). The Cluster policy is the least well-specified of the three."
A-e91b1d847d,P2,Move CV(FPR) definition to §2 and use consistently throughout,F-bfeb175017,XS,§2 / notation,"CV(FPR) = std(FPR)/mean(FPR) should be defined at first use in §2 or a notation table, not introduced informally mid-results. Standardize usage throughout."
A-f47168b200,P2,Add formal contamination equation for REPLACE-FIXED-BUDGET,F-b5bfa0c742,XS,§4 Method,"Add a formal equation defining the poisoning operation: given calibration buffer C_v of size n, and budget f, the adversary replaces ⌊f·n⌋ positions drawn from strategy S with poisoned scores from distribution P_S. Let the contaminated buffer be C̃_v. This replaces the current informal description."
A-418234b961,P3,Add discussion of Local vs. Global P10 Macro-F1 tradeoff,F-cb5cbb01cf,XS,§5,AUDIT-01 notes that Table 1 shows an interesting tradeoff between Local and Global policies on P10 Macro-F1. Add 1-2 sentences in §5 discussing this: whether it reflects fundamental policy behavior or a dataset artifact.
A-a1dbe8cc63,P3,"Regenerate all figures at 300 DPI minimum, preferably as vector (PDF/SVG)",F-f457b6ac9d,XS,paper/figures/,AUDIT-05 flags that figures appear to be blurry screenshots. Export all figures from the plotting code as PDF or SVG. At minimum 300 DPI PNG. Blurry figures signal low production quality.
